,precision,recall,f1-score,support
0,0.7685185185185185,0.8137254901960784,0.7904761904761904,102.0
1,0.7636363636363637,0.4117647058823529,0.535031847133758,102.0
2,0.5594405594405595,0.7843137254901961,0.6530612244897959,102.0
accuracy,0.6699346405228758,0.6699346405228758,0.6699346405228758,0.6699346405228758
macro avg,0.697198480531814,0.6699346405228758,0.6595230873665815,306.0
weighted avg,0.6971984805318139,0.6699346405228758,0.6595230873665813,306.0
