,precision,recall,f1-score,support
0,0.5238095238095238,0.9705882352941176,0.6804123711340206,102.0
1,0.9565217391304348,0.21568627450980393,0.352,102.0
2,0.648936170212766,0.5980392156862745,0.6224489795918368,102.0
accuracy,0.5947712418300654,0.5947712418300654,0.5947712418300654,0.5947712418300654
macro avg,0.7097558110509082,0.5947712418300654,0.5516204502419525,306.0
weighted avg,0.7097558110509081,0.5947712418300654,0.5516204502419525,306.0
