,precision,recall,f1-score,support
0,0.9285714285714286,0.8921568627450981,0.91,102.0
1,0.8157894736842105,0.6078431372549019,0.6966292134831461,102.0
2,0.6590909090909091,0.8529411764705882,0.7435897435897436,102.0
accuracy,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961
macro avg,0.8011506037821827,0.7843137254901961,0.7834063190242966,306.0
weighted avg,0.8011506037821827,0.7843137254901961,0.7834063190242966,306.0
