,precision,recall,f1-score,support
0,0.8627450980392157,0.8627450980392157,0.8627450980392157,102.0
1,0.5783132530120482,0.9411764705882353,0.7164179104477612,102.0
2,0.9473684210526315,0.35294117647058826,0.5142857142857142,102.0
accuracy,0.7189542483660131,0.7189542483660131,0.7189542483660131,0.7189542483660131
macro avg,0.7961422573679652,0.7189542483660131,0.6978162409242303,306.0
weighted avg,0.7961422573679651,0.7189542483660131,0.6978162409242303,306.0
