,precision,recall,f1-score,support
0,0.7413793103448276,0.8431372549019608,0.7889908256880734,102.0
1,0.6747967479674797,0.8137254901960784,0.7377777777777778,102.0
2,0.7611940298507462,0.5,0.6035502958579881,102.0
accuracy,0.7189542483660131,0.7189542483660131,0.7189542483660131,0.7189542483660131
macro avg,0.7257900293876846,0.7189542483660131,0.7101062997746131,306.0
weighted avg,0.7257900293876846,0.7189542483660131,0.7101062997746131,306.0
