,precision,recall,f1-score,support
0,0.7153284671532847,0.9607843137254902,0.8200836820083682,102.0
1,0.8152173913043478,0.7352941176470589,0.7731958762886598,102.0
2,0.8701298701298701,0.6568627450980392,0.7486033519553073,102.0
accuracy,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961
macro avg,0.800225242862501,0.7843137254901961,0.7806276367507784,306.0
weighted avg,0.8002252428625009,0.7843137254901961,0.7806276367507784,306.0
