,precision,recall,f1-score,support
0,0.9523809523809523,0.9803921568627451,0.966183574879227,102.0
1,0.9074074074074074,0.9607843137254902,0.9333333333333333,102.0
2,0.956989247311828,0.8725490196078431,0.9128205128205128,102.0
accuracy,0.9379084967320261,0.9379084967320261,0.9379084967320261,0.9379084967320261
macro avg,0.938925869033396,0.937908496732026,0.9374458070110244,306.0
weighted avg,0.938925869033396,0.9379084967320261,0.9374458070110245,306.0
