,precision,recall,f1-score,support
0,0.7261904761904762,0.5980392156862745,0.6559139784946236,102.0
1,0.5290697674418605,0.8921568627450981,0.6642335766423357,102.0
2,0.84,0.4117647058823529,0.5526315789473685,102.0
accuracy,0.6339869281045751,0.6339869281045751,0.6339869281045751,0.6339869281045751
macro avg,0.6984200812107789,0.6339869281045751,0.6242597113614426,306.0
weighted avg,0.6984200812107789,0.6339869281045751,0.6242597113614426,306.0
