,precision,recall,f1-score,support
0,0.9090909090909091,0.8823529411764706,0.8955223880597015,102.0
1,0.725,0.8529411764705882,0.7837837837837838,102.0
2,0.8045977011494253,0.6862745098039216,0.7407407407407407,102.0
accuracy,0.8071895424836601,0.8071895424836601,0.8071895424836601,0.8071895424836601
macro avg,0.8128962034134447,0.8071895424836603,0.8066823041947421,306.0
weighted avg,0.8128962034134449,0.8071895424836601,0.806682304194742,306.0
