,precision,recall,f1-score,support
0,0.6133333333333333,0.8846153846153846,0.7244094488188977,52.0
1,0.88,0.41509433962264153,0.5641025641025641,53.0
2,0.6551724137931034,0.7169811320754716,0.6846846846846847,53.0
accuracy,0.6708860759493671,0.6708860759493671,0.6708860759493671,0.6708860759493671
macro avg,0.7161685823754788,0.6722302854378325,0.6577322325353822,158.0
weighted avg,0.7168194383820747,0.6708860759493671,0.6573102248373852,158.0
