loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
1.187678575515747,0.6821895241737366,0.5615411996841431,0.7647058963775635
0.33682385087013245,0.8946078419685364,0.5162254571914673,0.8300653696060181
0.121152862906456,0.9616013169288635,0.6778255701065063,0.7843137383460999
0.07912128418684006,0.970588207244873,0.7291964888572693,0.7908496856689453
0.0639062449336052,0.9812091588973999,0.49346092343330383,0.8692810535430908
0.04796431586146355,0.9861111044883728,0.6715171933174133,0.8464052081108093
0.028533682227134705,0.9910130500793457,0.5722633600234985,0.8692810535430908
0.02326860837638378,0.9926470518112183,0.5361198782920837,0.8725489974021912
0.05126466974616051,0.9852941036224365,0.4960084855556488,0.9019607901573181
0.014205416664481163,0.9967319965362549,0.4395032823085785,0.9248365759849548
0.019122036173939705,0.9934640526771545,0.4310693144798279,0.9281045794487
0.013894722796976566,0.9959150552749634,0.3827396333217621,0.9346405267715454
0.012597985565662384,0.9942810535430908,0.3147968053817749,0.9444444179534912
0.016303962096571922,0.9926470518112183,0.3284143805503845,0.9313725233078003
0.01621442288160324,0.9942810535430908,0.22542238235473633,0.9509803652763367
0.01421944797039032,0.9959150552749634,0.22698307037353516,0.9575163125991821
0.057504355907440186,0.9795751571655273,0.19163274765014648,0.9542483687400818
0.0705127939581871,0.9730392098426819,0.26066944003105164,0.9477124214172363
0.10714579373598099,0.9738562107086182,0.38548848032951355,0.9281045794487
0.05965111404657364,0.9828431606292725,0.3794240653514862,0.9411764740943909
0.03236830234527588,0.9910130500793457,0.33693841099739075,0.9444444179534912
0.06422531604766846,0.9869281053543091,0.2823815643787384,0.9509803652763367
