subject_id,session_id,condition,latency,peak,mean
4,1,Overt,0.12,-0.3280649792239311,-0.9548427594338812
4,1,Covert,0.303,0.941592812273797,0.362563383737862
5,2,Overt,0.117,0.6719088420056556,-0.0488633886062427
5,2,Covert,0.308,1.4407796992505106,0.4070496706456645
12,1,Overt,0.12,0.9942693148178524,0.2575253847096677
12,1,Covert,0.295,4.12691313749297,3.3070275988279314
14,1,Overt,0.118,3.697912150392641,2.4472468393156137
14,1,Covert,0.313,-0.3183897892913558,-1.0171734212224792
3,1,Overt,0.12,1.736315249390718,1.0027615673871288
3,1,Covert,0.303,0.5008115258501533,0.0667480051081342
8,1,Overt,0.092,-0.134539417031536,-0.5614087706378125
8,1,Covert,0.32,-1.544026675532738,-2.137941212575587
5,1,Overt,0.12,0.6656886971404652,-0.4979916408284161
5,1,Covert,0.319,1.3650597545494036,0.1295636082106982
15,2,Overt,0.08,0.1045187183082205,-0.3109866796255321
15,2,Covert,0.293,-1.735109542576663,-2.1645477394134622
9,2,Overt,0.08,1.2498410239746085,0.6813370871974694
9,2,Covert,0.32,2.476515570898951,1.1275777040027035
15,1,Overt,0.092,1.142005993566661,0.6327864530073173
15,1,Covert,0.317,-0.0702966583689283,-0.840424886886379
13,2,Overt,0.12,2.5988531056504462,1.8791963182059732
13,2,Covert,0.314,-1.871879211517561,-2.6722248906406594
10,1,Overt,0.111,0.4820520577171322,-0.167821846999319
10,1,Covert,0.303,-1.1317948971132727,-1.6647206713598497
13,1,Overt,0.08,0.0921056916333441,-0.5225064268880854
13,1,Covert,0.307,-1.486083124554154,-1.823831309961201
1,1,Overt,0.11,1.082490755187627,-0.6328357899728829
1,1,Covert,0.28,-0.9960624397216816,-2.7066541286549466
12,2,Overt,0.12,0.5420242332721541,-0.3546993386610876
12,2,Covert,0.307,5.36328997592098,4.933383404685361
11,1,Overt,0.12,1.4252101792287577,0.6996321082897425
11,1,Covert,0.303,0.5211729149522122,-0.1897978964240008
6,1,Overt,0.117,1.3275827296621143,0.7243910348562618
6,1,Covert,0.32,1.9231707901559123,1.2552253701069451
9,1,Overt,0.105,1.6455736476881042,1.005605678742126
9,1,Covert,0.32,0.7933884490645265,0.1844042273792517
4,2,Overt,0.12,3.0989687864869904,1.7510720913896802
4,2,Covert,0.288,3.82803701639408,2.867954061621749
6,2,Overt,0.116,2.512520176192791,1.805263958846112
6,2,Covert,0.306,1.348833856001429,0.8707935215735084
2,1,Overt,0.12,1.1885949144306294,-0.1972696180765488
2,1,Covert,0.32,2.7597860713007925,1.6959799365689243
7,1,Overt,0.081,-1.78166609583717,-2.333990775025492
7,1,Covert,0.28,-1.1259188727960583,-1.876323078908688
