subject_id,session_id,condition,latency,peak,mean
13,1,Visual,0.12,13.915361571910722,4.157586235513374
13,1,Rest,0.12,0.0931707238196831,-2.0340939944099405
6,1,Visual,0.12,8.475308220226434,4.576022419260577
6,1,Rest,0.12,-4.020665197412532,-5.088031454669408
4,2,Visual,0.12,2.778097150439208,0.4240151131125652
4,2,Rest,0.08,0.834273305125383,0.2304173188486621
11,1,Visual,0.087,2.041138599671428,0.9841498145105764
11,1,Rest,0.117,1.6814677038703478,0.5483255218606932
9,1,Visual,0.12,7.433945808451558,1.6433844201292291
9,1,Rest,0.12,0.1153699656704605,-2.0511932041769287
2,1,Visual,0.12,4.929224108376501,0.9065776358041364
2,1,Rest,0.12,1.2035350025303044,-1.883797363386645
7,1,Visual,0.12,4.771295505144312,0.7935881678586728
7,1,Rest,0.109,-0.6374478105894138,-1.0419424231093175
8,1,Visual,0.12,14.019009896854424,7.625529375536628
8,1,Rest,0.12,2.748361800647741,1.1312140781534856
10,1,Visual,0.12,8.552393247128604,3.657449087635849
10,1,Rest,0.12,2.2421227196362885,0.5155927919127173
15,1,Visual,0.12,2.409670053533446,-0.9004509283156052
15,1,Rest,0.104,2.1615889923635674,1.0739019756681225
13,2,Visual,0.12,14.217846207154858,4.536986717586895
13,2,Rest,0.12,0.5695502818178658,-3.092477607315209
15,2,Visual,0.12,2.44505982822361,-1.1817641451589558
15,2,Rest,0.08,-0.5472300607580644,-3.6016389560165822
4,1,Visual,0.12,4.853917950903751,1.896770326612363
4,1,Rest,0.11,2.225918859566979,1.1184753398539309
6,2,Visual,0.12,10.865605534716575,4.851653045236993
6,2,Rest,0.086,0.0456442938769022,-1.2237874231778203
9,2,Visual,0.12,3.721271472881837,0.4254372432192397
9,2,Rest,0.12,0.6434018755333304,0.0511069069923376
5,1,Visual,0.12,1.4081339108781723,-0.919128545703356
5,1,Rest,0.119,1.3371452706624414,-0.2887609509961389
14,1,Visual,0.12,4.975173948510905,-0.5781301939643273
14,1,Rest,0.101,0.3786544072599075,-0.1149650320572273
1,1,Visual,0.114,2.660314764482572,0.0860929914860936
1,1,Rest,0.096,0.8001931950965191,-0.7836852859620591
5,2,Visual,0.12,1.6340681736680192,-1.5068168848754482
5,2,Rest,0.12,0.5700726794944648,-0.7372471601517092
12,1,Visual,0.12,2.54320236358567,0.7978319728141132
12,1,Rest,0.12,3.008770475108068,1.8530240257392283
3,1,Visual,0.109,5.227087351231877,3.0690444257755587
3,1,Rest,0.08,0.2298394645683097,-2.0143829594927496
12,2,Visual,0.116,5.091910630763933,2.364247217333857
12,2,Rest,0.12,5.7648261977361255,4.346571637973887
13,1,Visual,0.12,13.915361571910722,4.157586235513374
13,1,Rest,0.12,0.0931707238196831,-2.0340939944099405
6,1,Visual,0.12,8.475308220226434,4.576022419260577
6,1,Rest,0.12,-4.020665197412532,-5.088031454669408
4,2,Visual,0.12,2.778097150439208,0.4240151131125652
4,2,Rest,0.08,0.834273305125383,0.2304173188486621
11,1,Visual,0.087,2.041138599671428,0.9841498145105764
11,1,Rest,0.117,1.6814677038703478,0.5483255218606932
9,1,Visual,0.12,7.433945808451558,1.6433844201292291
9,1,Rest,0.12,0.1153699656704605,-2.0511932041769287
2,1,Visual,0.12,4.929224108376501,0.9065776358041364
2,1,Rest,0.12,1.2035350025303044,-1.883797363386645
7,1,Visual,0.12,4.771295505144312,0.7935881678586728
7,1,Rest,0.109,-0.6374478105894138,-1.0419424231093175
8,1,Visual,0.12,14.019009896854424,7.625529375536628
8,1,Rest,0.12,2.748361800647741,1.1312140781534856
10,1,Visual,0.12,8.552393247128604,3.657449087635849
10,1,Rest,0.12,2.2421227196362885,0.5155927919127173
15,1,Visual,0.12,2.409670053533446,-0.9004509283156052
15,1,Rest,0.104,2.1615889923635674,1.0739019756681225
13,2,Visual,0.12,14.217846207154858,4.536986717586895
13,2,Rest,0.12,0.5695502818178658,-3.092477607315209
15,2,Visual,0.12,2.44505982822361,-1.1817641451589558
15,2,Rest,0.08,-0.5472300607580644,-3.6016389560165822
4,1,Visual,0.12,4.853917950903751,1.896770326612363
4,1,Rest,0.11,2.225918859566979,1.1184753398539309
6,2,Visual,0.12,10.865605534716575,4.851653045236993
